Date,AMAT_open,AMAT_high,AMAT_low,AMAT_close,AMAT_volume
3/17/10,12.5,12.69,12.45,12.66,27773300
3/18/10,12.67,12.77,12.53,12.63,18686400
3/19/10,12.67,12.71,12.37,12.49,24762900
3/22/10,12.44,12.82,12.39,12.78,26257100
3/23/10,12.82,13.32,12.8,13.24,39649700
3/24/10,13.18,13.23,12.91,13,34127100
3/25/10,13.1,13.38,13.09,13.16,38278400
3/26/10,13.28,13.45,13.01,13.21,30090900
3/29/10,13.28,13.45,13.22,13.31,27827600
3/30/10,13.38,13.6,13.23,13.45,39364900
3/31/10,13.44,13.75,13.43,13.47,40814400
4/1/10,13.63,13.73,13.27,13.35,37110700
4/5/10,13.42,13.61,13.37,13.52,29330500
4/6/10,13.43,13.56,13.39,13.48,16452500
4/7/10,13.47,13.71,13.37,13.58,20870600
4/8/10,13.5,13.5,13.3,13.34,29173200
4/9/10,13.36,13.47,13.31,13.47,15446100
4/12/10,13.5,13.74,13.42,13.63,24211600
4/13/10,13.6,13.84,13.56,13.8,28384400
4/14/10,14.04,14.5,14,14.41,45410300
4/15/10,14.45,14.49,14.26,14.34,22965700
4/16/10,14.27,14.45,14.18,14.36,33765600
4/19/10,14.26,14.39,13.99,14.3,25694500
4/20/10,14.37,14.46,14.23,14.46,18477900
4/21/10,14.47,14.5,14.12,14.43,19225700
4/22/10,14.22,14.41,13.97,14.37,33118300
4/23/10,14.37,14.48,14.18,14.47,23701600
4/26/10,14.45,14.57,14.3,14.36,17270800
4/27/10,14.31,14.39,13.9,13.93,30107900
4/28/10,14.02,14.16,13.85,14.05,23997800
4/29/10,14.1,14.28,14.01,14.26,20898500
4/30/10,14.31,14.31,13.76,13.78,25896300
5/3/10,13.85,14.1,13.77,14,17456600
5/4/10,13.82,13.82,13.18,13.39,37264900
5/5/10,13.27,13.48,13.08,13.22,26151100
5/6/10,13.12,13.36,11.99,12.71,43990600
5/7/10,12.64,12.74,12.03,12.5,38398600
5/10/10,12.99,13.39,12.85,13.19,27919300
5/11/10,13.03,13.61,12.96,13.36,37536300
5/12/10,13.44,13.81,13.39,13.77,32924000
5/13/10,13.68,13.76,13.15,13.23,22710400
5/14/10,13.16,13.16,12.75,12.95,27246300
5/17/10,12.96,13.24,12.8,13.18,18442600
5/18/10,13.37,13.45,12.88,12.94,25296700
5/19/10,12.9,13.21,12.78,13.02,36120400
5/20/10,12.5,13.04,12.34,12.69,46660600
5/21/10,12.32,12.92,12.3,12.72,41207700
5/24/10,12.53,12.7,12.41,12.49,20421700
5/25/10,12.14,12.69,12.05,12.67,25949500
5/26/10,12.75,12.94,12.52,12.52,24184000
5/27/10,12.8,13.11,12.8,13.07,21642600
5/28/10,13.01,13.1,12.75,12.92,17231300
6/1/10,12.83,13,12.58,12.59,20702700
6/2/10,12.67,12.87,12.53,12.85,19568400
6/3/10,12.87,13.08,12.79,13.03,19915500
6/4/10,12.69,12.99,12.5,12.57,20768200
6/7/10,12.62,12.73,12.17,12.18,19003400
6/8/10,12.23,12.36,11.98,12.34,18183000
6/9/10,12.41,12.67,12.13,12.19,19252100
6/10/10,12.36,12.63,12.32,12.53,21926600
6/11/10,12.4,12.78,12.37,12.69,16438600
6/14/10,12.8,12.92,12.66,12.69,17292100
6/15/10,12.71,13.3,12.66,13.26,25381300
6/16/10,13.2,13.49,13.1,13.39,18674500
6/17/10,13.5,13.5,13.09,13.4,15360000
6/18/10,13.4,13.5,13.25,13.34,15309000
6/21/10,13.52,13.54,13.16,13.26,14415400
6/22/10,13.32,13.5,13.01,13.06,16289100
6/23/10,13.13,13.3,12.9,13.12,17537000
6/24/10,13.03,13.07,12.67,12.76,19277700
6/25/10,12.76,13.01,12.5,12.95,48303900
6/28/10,12.88,12.99,12.67,12.83,16084100
6/29/10,12.65,12.65,12.25,12.32,29442500
6/30/10,12.3,12.47,12,12.02,25783300
7/1/10,12.01,12.18,11.73,12,27308500
7/2/10,12.03,12.11,11.76,12,21203700
7/6/10,12.12,12.17,11.61,11.78,30163700
7/7/10,11.84,12.21,11.72,12.19,26353900
7/8/10,12.3,12.31,11.92,12.11,26422700
7/9/10,12.15,12.31,12.01,12.3,18687300
7/12/10,12.2,12.47,12.18,12.31,13674300
7/13/10,12.5,12.62,12.46,12.52,23246500
7/14/10,12.67,12.78,12.46,12.53,20956900
7/15/10,12.51,12.57,12.27,12.46,19689300
7/16/10,12.42,12.45,12.18,12.19,20576600
7/19/10,12.25,12.4,12.19,12.38,13306900
7/20/10,12.12,12.37,11.89,12.34,22747600
7/21/10,12.6,12.71,12.17,12.2,29922300
7/22/10,12.34,12.61,12.33,12.45,21862900
7/23/10,12.39,12.55,12.25,12.51,14214700
7/26/10,12.49,12.64,12.29,12.56,15642600
7/27/10,12.58,12.67,12.3,12.61,19061900
7/28/10,12.63,12.65,12.26,12.35,18344100
7/29/10,12.35,12.39,11.78,11.94,36363600
7/30/10,11.89,11.92,11.66,11.8,26268400
8/2/10,12,12.15,11.94,12.01,20219400
8/3/10,11.87,11.91,11.65,11.82,23634000
8/4/10,11.88,12.02,11.65,11.87,17594100
8/5/10,11.86,11.97,11.7,11.81,14579900
8/6/10,11.7,11.87,11.66,11.84,15889700
8/9/10,11.96,11.97,11.73,11.87,9237100
8/10/10,11.76,11.81,11.39,11.53,25199900
8/11/10,11.37,11.37,11.11,11.21,20777200
8/12/10,10.99,11.22,10.94,11.16,27943900
8/13/10,11.12,11.34,11.11,11.17,15901300
8/16/10,11.11,11.37,11.03,11.21,19176600
8/17/10,11.35,11.47,11.25,11.39,15340600
8/18/10,11.35,11.53,11.28,11.38,12620500
8/19/10,11.44,11.62,11.29,11.36,21945000
8/20/10,11.25,11.42,11.07,11.09,27253900
8/23/10,11.11,11.22,10.95,10.99,26340400
8/24/10,10.82,10.9,10.59,10.59,37283900
8/25/10,10.49,10.77,10.33,10.71,31905600
8/26/10,10.75,10.81,10.51,10.53,25302300
8/27/10,10.58,10.78,10.3,10.69,23280100
8/30/10,10.67,10.74,10.47,10.47,16357700
8/31/10,10.44,10.6,10.27,10.37,30117100
9/1/10,10.51,10.9,10.5,10.71,30718000
9/2/10,10.67,10.81,10.59,10.79,19587200
9/3/10,11.01,11.1,10.79,10.98,16798300
9/7/10,10.91,10.95,10.72,10.82,31502500
9/8/10,10.89,10.89,10.47,10.58,30350500
9/9/10,10.71,10.96,10.61,10.78,24305500
9/10/10,10.77,10.91,10.54,10.68,22927900
9/13/10,10.74,10.87,10.71,10.78,23298900
9/14/10,10.79,11.19,10.72,11.11,26126400
9/15/10,11.06,11.09,10.86,11.04,18915700
9/16/10,11.02,11.14,10.86,11.08,21749900
9/17/10,11.13,11.15,10.88,11.02,23400800
9/20/10,11.05,11.2,10.9,11.16,19301400
9/21/10,11.22,11.33,11.13,11.25,26799500
9/22/10,11.21,11.32,11.07,11.16,20741400
9/23/10,11.06,11.45,10.99,11.29,22513800
9/24/10,11.47,11.68,11.41,11.63,22056300
9/27/10,11.58,11.7,11.5,11.54,12055600
9/28/10,11.59,11.77,11.43,11.73,21370600
9/29/10,11.65,11.82,11.51,11.68,21920400
9/30/10,11.71,11.85,11.51,11.68,23697300
10/1/10,11.79,11.83,11.59,11.71,18017200
10/4/10,11.66,11.73,11.36,11.49,15753100
10/5/10,11.61,11.9,11.6,11.86,20998300
10/6/10,11.8,11.81,11.6,11.73,18998300
10/7/10,11.81,11.83,11.63,11.73,18464100
10/8/10,11.63,11.86,11.48,11.82,25834800
10/11/10,11.82,11.92,11.77,11.82,14540100
10/12/10,11.83,11.99,11.7,11.96,18305200
10/13/10,12,12.05,11.81,11.97,16470800
10/14/10,12,12.07,11.86,11.91,16167200
10/15/10,12.05,12.05,11.86,12.02,20040300
10/18/10,11.98,12.03,11.77,11.95,13884500
10/19/10,11.89,12.02,11.6,11.78,26954500
10/20/10,11.82,12.05,11.81,11.94,16526500
10/21/10,11.96,12,11.8,11.9,14562000
10/22/10,11.9,12.16,11.84,12.13,18248400
10/25/10,12.22,12.25,12.14,12.15,12380000
10/26/10,12.05,12.2,11.97,12.09,11561600
10/27/10,11.99,12.24,11.96,12.24,11833100
10/28/10,12.18,12.29,12.14,12.25,12635800
10/29/10,12.28,12.38,12.21,12.35,11137400
11/1/10,12.36,12.44,12.17,12.37,16335500
11/2/10,12.42,12.5,12.32,12.48,11575000
11/3/10,12.48,12.55,12.33,12.54,12324600
11/4/10,12.65,12.89,12.64,12.89,16341100
11/5/10,12.9,13.06,12.86,12.98,15163400
11/8/10,12.94,12.99,12.77,12.8,16470300
11/9/10,12.85,13.08,12.75,12.82,14443400
11/10/10,12.85,12.89,12.62,12.85,15705600
11/11/10,12.55,12.67,12.48,12.63,15040400
11/12/10,12.53,12.74,12.53,12.59,14686500
11/15/10,12.72,12.8,12.6,12.61,12628100
11/16/10,12.49,12.69,12.41,12.46,17121600
11/17/10,12.48,12.63,12.34,12.38,14793200
11/18/10,12.56,12.85,12.5,12.65,21840500
11/19/10,12.6,12.66,12.49,12.53,16923000
11/22/10,12.35,12.61,12.34,12.53,15045100
11/23/10,12.35,12.45,12.3,12.41,11613000
11/24/10,12.48,12.71,12.42,12.59,11024600
11/26/10,12.52,12.65,12.51,12.53,4026200
11/29/10,12.44,12.56,12.35,12.52,16730700
11/30/10,12.39,12.5,12.3,12.43,13217200
12/1/10,12.66,12.82,12.63,12.77,13969100
12/2/10,12.74,13,12.62,12.91,12568700
12/3/10,12.9,13.1,12.86,13.06,10377000
12/6/10,13.03,13.04,12.9,13.02,8239600
12/7/10,13.15,13.2,12.98,12.99,12500200
12/8/10,12.99,13.1,12.99,13.04,10391400
12/9/10,13.12,13.3,13.12,13.28,11491800
12/10/10,13.3,13.39,13.2,13.36,9901400
12/13/10,13.39,13.4,13.21,13.22,9473800
12/14/10,13.25,13.31,13.18,13.3,9573500
12/15/10,13.27,13.38,13.15,13.2,10142800
12/16/10,13.25,13.4,13.18,13.38,8376200
12/17/10,13.44,13.72,13.44,13.61,19690500
12/20/10,13.6,13.8,13.57,13.6,12477100
12/21/10,13.65,13.96,13.64,13.91,14591600
12/22/10,13.85,14.02,13.78,14,9699300
12/23/10,13.98,14.1,13.96,14,6675900
12/27/10,13.92,14.13,13.91,14.08,6401500
12/28/10,14.02,14.14,14.02,14.1,6992500
12/29/10,14.16,14.16,14.05,14.12,5993600
12/30/10,14.13,14.2,14.07,14.13,5649900
12/31/10,14.13,14.15,14,14.05,5660500
1/3/11,14.13,14.29,14.01,14.06,10943700
1/4/11,14.06,14.1,13.91,13.97,16518700
1/5/11,13.82,13.93,13.72,13.76,24401300
1/6/11,13.82,14.1,13.8,13.89,18942300
1/7/11,13.93,14.03,13.79,13.96,10838300
1/10/11,13.89,13.94,13.68,13.77,15011300
1/11/11,13.87,14.1,13.84,14.08,17290200
1/12/11,14.17,14.3,14.07,14.26,8612100
1/13/11,14.28,14.34,14.2,14.24,9322400
1/14/11,14.64,15.32,14.57,15.32,36689800
1/18/11,15.26,15.35,14.99,15.2,33814200
1/19/11,15.14,15.35,15.09,15.23,27347900
1/20/11,15.23,15.23,14.71,15.06,21092300
1/21/11,15.17,15.19,14.97,15.01,12815900
1/24/11,15.09,15.4,15,15.37,14403900
1/25/11,15.29,15.4,15.13,15.37,18445600
1/26/11,15.35,15.57,15.31,15.46,13248200
1/27/11,15.45,16.15,15.45,16.1,24319000
1/28/11,16.200001,16.25,15.67,15.77,24074100
1/31/11,15.87,16.129999,15.62,15.69,24068000
2/1/11,15.8,16.27,15.69,16.219999,21935800
2/2/11,16.16,16.52,16.15,16.35,22846900
2/3/11,16.34,16.34,15.99,16.139999,20212200
2/4/11,16.16,16.5,16.02,16.49,15018800
2/7/11,16.52,16.67,16.27,16.389999,15425000
2/8/11,16.389999,16.43,16.07,16.16,16694100
2/9/11,16.09,16.1,15.77,15.87,20651800
2/10/11,15.76,16.139999,15.66,16.120001,19010900
2/11/11,16.040001,16.15,15.9,16.01,12939900
2/14/11,16.01,16.219999,15.98,16.200001,12982800
2/15/11,16.190001,16.219999,16.01,16.120001,12138900
2/16/11,16.219999,16.57,16.139999,16.35,18176100
2/17/11,16.309999,16.540001,16.18,16.42,13520600
2/18/11,16.49,16.5,16.27,16.469999,12380200
2/22/11,16.26,16.27,15.62,15.66,25417700
2/23/11,15.82,16.040001,15.45,15.64,24399900
2/24/11,15.69,15.87,15.52,15.83,18660300
2/25/11,16.1,16.15,15.71,16.120001,20071400
2/28/11,16.129999,16.540001,16.129999,16.43,26338800
3/1/11,16.549999,16.75,16.16,16.200001,34048400
3/2/11,16.120001,16.469999,16.120001,16.42,19128000
3/3/11,16.49,16.93,16.49,16.85,17570800
3/4/11,16.84,16.870001,16.58,16.73,14204700
3/7/11,16.77,16.77,15.74,15.96,24768000
3/8/11,15.98,16,15.67,15.79,28212900
3/9/11,15.73,15.77,15.16,15.3,32174600
3/10/11,15.08,15.23,14.93,14.96,23029200
3/11/11,14.88,15.24,14.77,15,16362700
3/14/11,14.93,15.09,14.81,14.96,15936300
3/15/11,14.48,14.96,14.25,14.88,21222000
3/16/11,14.78,14.94,14.36,14.46,24530800
3/17/11,14.68,14.97,14.67,14.83,15750300
3/18/11,15.06,15.1,14.78,14.84,19567600
3/21/11,15.1,15.36,15.05,15.21,13053300
3/22/11,15.16,15.28,15.05,15.11,10673300
3/23/11,15.05,15.21,14.81,15.16,17119100
3/24/11,15.31,15.46,15.13,15.44,14958900
3/25/11,15.43,15.59,15.35,15.43,13937100
3/28/11,15.44,15.55,15.38,15.47,11868500
3/29/11,15.41,15.82,15.37,15.7,16816500
3/30/11,15.76,15.89,15.56,15.73,11390500
3/31/11,15.74,15.86,15.59,15.62,11448600
4/1/11,15.81,15.85,15.46,15.53,12739400
4/4/11,15.53,15.58,15.26,15.4,21009900
4/5/11,15.4,15.62,15.38,15.53,13785600
4/6/11,15.61,15.85,15.54,15.75,13351600
4/7/11,15.67,15.69,15.24,15.5,18218500
4/8/11,15.57,15.64,15.26,15.31,10591800
4/11/11,15.33,15.4,15.17,15.33,12408700
4/12/11,15.2,15.24,14.89,15.03,17063400
4/13/11,15.08,15.14,14.82,14.88,16177000
4/14/11,14.73,14.85,14.66,14.78,19631400
4/15/11,14.86,14.9,14.62,14.72,19034200
4/18/11,14.56,14.6,14.41,14.48,19711100
4/19/11,14.47,14.77,14.47,14.61,14145500
4/20/11,15.15,15.44,15.13,15.28,18697000
4/21/11,15.19,15.26,15.01,15.25,12822500
4/25/11,15.27,15.31,15.13,15.3,11308500
4/26/11,15.34,15.61,15.3,15.61,16597600
4/27/11,15.61,15.97,15.6,15.92,16734000
4/28/11,15.89,15.95,15.5,15.69,21704300
4/29/11,15.76,15.76,15.46,15.69,29186300
5/2/11,15.34,15.49,15.1,15.15,23471800
5/3/11,15.13,15.26,15.03,15.24,16800000
5/4/11,15.88,15.9,14.87,15.09,35295800
5/5/11,15.05,15.28,14.82,14.96,25298800
5/6/11,15.23,15.44,15.15,15.23,16860400
5/9/11,15.2,15.23,15.01,15.04,14623800
5/10/11,15.14,15.17,14.98,15.06,16187800
5/11/11,15.07,15.07,14.83,14.92,16500000
5/12/11,14.91,15.15,14.89,15.09,17600000
5/13/11,15.04,15.09,14.78,14.8,15158700
5/16/11,14.8,14.8,14.5,14.52,17248200
5/17/11,14.52,14.53,14.26,14.31,23388200
5/18/11,14.3,14.55,14.28,14.5,17221900
5/19/11,14.2,14.5,14.09,14.33,19202300
5/20/11,14.28,14.36,14.05,14.09,17189500
5/23/11,13.92,13.93,13.72,13.79,21100000
5/24/11,13.83,13.92,13.65,13.71,25015700
5/25/11,13.42,13.91,13.36,13.86,27067900
5/26/11,13.8,13.81,13.5,13.64,16979800
5/27/11,13.58,13.66,13.41,13.43,17064500
5/31/11,13.51,13.78,13.5,13.78,15690400
