Date,TSM_open,TSM_high,TSM_low,TSM_close,TSM_volume
1/3/12,13.11,13.35,13.06,13.26,8910500
1/4/12,13.15,13.21,13.04,13.14,7386600
1/5/12,13.19,13.28,13.14,13.26,10306100
1/6/12,13.27,13.27,13.09,13.15,7775800
1/9/12,13.15,13.39,13.13,13.38,7543100
1/10/12,13.53,13.82,13.46,13.77,15501300
1/11/12,13.61,13.7,13.58,13.66,11564800
1/12/12,13.7,13.98,13.7,13.83,12716100
1/13/12,13.76,13.8,13.59,13.75,9564100
1/17/12,13.71,13.74,13.42,13.46,13523900
1/18/12,13.62,13.94,13.62,13.83,14004200
1/19/12,13.88,14.27,13.87,14.26,14215100
1/20/12,14.2,14.26,13.95,13.97,14399700
1/23/12,14.02,14.15,13.88,14.01,9998400
1/24/12,13.89,14.04,13.85,13.93,9240200
1/25/12,14.02,14.17,13.9,14.16,9296200
1/26/12,14.22,14.43,14.18,14.23,13756900
1/27/12,14.05,14.19,13.99,14.11,11038700
1/30/12,14.07,14.07,13.85,13.98,9843400
1/31/12,14.12,14.19,13.99,14.08,7117600
2/1/12,14.1,14.27,14.1,14.19,9918300
2/2/12,14.19,14.22,13.9,13.91,11380900
2/3/12,13.81,14.06,13.8,14.05,11174500
2/6/12,14.01,14.04,13.9,13.99,9070400
2/7/12,13.94,14.14,13.88,14.05,6824400
2/8/12,14.04,14.26,14.02,14.19,6962600
2/9/12,14.2,14.32,14.07,14.28,9101100
2/10/12,14.08,14.09,13.79,13.84,8965700
2/13/12,14.09,14.16,13.99,14.11,13300700
2/14/12,14.05,14.2,14.04,14.18,10985800
2/15/12,14.3,14.46,14.25,14.32,12026600
2/16/12,14.32,14.58,14.3,14.53,7762500
2/17/12,14.63,14.77,14.55,14.62,7889600
2/21/12,14.58,14.67,14.33,14.38,9565000
2/22/12,14.41,14.5,14.3,14.48,7314500
2/23/12,14.33,14.33,14.1,14.14,9306400
2/24/12,14.2,14.4,14.2,14.37,7352500
2/27/12,14.29,14.45,14.18,14.39,5314700
2/28/12,14.45,14.69,14.45,14.69,7511800
2/29/12,14.74,14.8,14.49,14.52,10514800
3/1/12,14.65,14.68,14.43,14.64,6178400
3/2/12,14.54,14.64,14.49,14.59,6143400
3/5/12,14.43,14.51,14.23,14.33,6702200
3/6/12,14.23,14.34,14.1,14.16,7497600
3/7/12,14.27,14.45,14.21,14.4,9138800
3/8/12,14.5,14.62,14.46,14.61,5385700
3/9/12,14.65,14.67,14.51,14.6,5586600
3/12/12,14.6,14.6,14.34,14.4,7423400
3/13/12,14.6,14.87,14.55,14.87,6853900
3/14/12,14.93,15.11,14.8,14.81,6642900
3/15/12,14.93,15.02,14.8,14.94,7049200
3/16/12,14.89,14.93,14.76,14.79,5240700
3/19/12,15,15.27,14.86,15.16,7112900
3/20/12,15.07,15.08,14.84,14.94,5302400
3/21/12,15.31,15.43,15.14,15.21,7137700
3/22/12,15.04,15.17,14.98,15.03,6137600
3/23/12,15.17,15.17,14.96,14.99,6650100
3/26/12,14.99,15.4,14.98,15.38,9689000
3/27/12,15.43,15.51,15.35,15.37,5885600
3/28/12,15.28,15.39,15.12,15.18,10838900
3/29/12,15.03,15.1,14.96,15.08,7107500
3/30/12,15.2,15.41,15.14,15.28,7648300
